time (h);250uM Y;time (h);200uM Y;time (h);110uM Y;time (h);100uM Y;time (h);90uM Y
1,583,333,333;0.0140781433776;1,583,333,333;-0.00233633869071;4.5;-0.000521836865768;4.5;-0.000425622472867;4.5;-0.000756150020164
1,666,666,667;-0.0223967356615;1,583,333,333;0.00158531562546;4,583,333,333;-0.000602119460501;4,583,333,333;-0.00130960760882;4,583,333,333;-0.00070574001882
1,666,666,667;0.00423115548204;1,583,333,333;0.0629145057909;4,666,666,667;-0.000497752087347;4,666,666,667;-0.000311031807095;4,666,666,667;-0.00260451673612
1,666,666,667;0.0155842106773;1,666,666,667;0.00149206176514;4.75;-0.000345215157354;4.75;-0.000687543994631;4.75;-0.00114262669714
1.75;-0.0228754445154;1,666,666,667;0.00672677381419;4,833,333,333;0.000232819524727;4,833,333,333;-0.000327401902205;4,833,333,333;1.68E+06
1.75;0.00542001417769;1,666,666,667;0.0793487479666;4,916,666,667;-0.000272960822094;4,916,666,667;-0.000949465516395;4,916,666,667;0.00178115338083
1.75;0.0189692762271;1.75;-4.27E+06;5.0;-0.000128452151574;5.0;0.000736654279961;5.0;-0.00115943003092
1,833,333,333;-0.0164014771587;1.75;0.00586436691494;5,083,333,333;4.01E+06;5,083,333,333;0.000769394470182;5,083,333,333;0.000974593359322
1,833,333,333;0.00595167769376;1.75;0.0720770824354;5,166,666,667;-0.000224791265254;5,166,666,667;0.000425622472867;5,166,666,667;0.00070574001882
1,833,333,333;0.0172695717031;1,833,333,333;0.000633349134682;5.25;0.000224791265254;5.25;0.000212811236433;5.25;0.00058811668235
1,916,666,667;-0.0203679219477;1,833,333,333;0.00758918071345;5,333,333,333;0.000513808606294;5,333,333,333;0.00163700951103;5,333,333,333;-0.00119303669848
1,916,666,667;0.00834416351607;1,833,333,333;0.104333801427;5,416,666,667;0.000401412973667;5,416,666,667;-0.000605693519079;5,416,666,667;-0.000504100013443
1,916,666,667;0.0160647178634;1,916,666,667;0.000384672173825;5.5;0.000810854206808;5.5;-6.55E+05;5.5;0.00283976340906
2.0;-0.0171993252485;1,916,666,667;0.00802822422579;5,583,333,333;0.000305073859987;5,583,333,333;-0.000720284184851;5,583,333,333;1.68E+06
2.0;0.0109581758034;1,916,666,667;0.0830749551604;5,666,666,667;0.000706486833654;5,666,666,667;-0.000818504755513;5,666,666,667;0.00154590670789
2.0;0.0199661493445;2.0;0.00105299150613;5.75;0.000642260757868;5.75;0.00119501694305;5.75;0.00011762333647
2,083,333,333;-0.0158543813258;2.0;0.00730693845551;5,833,333,333;0.000794797687861;5,833,333,333;-0.000703914089741;5,833,333,333;0.000403280010754
2,083,333,333;0.0135574196597;2.0;0.0291283733993;5,916,666,667;0.00116409762364;5,916,666,667;-0.000229181331544;5,916,666,667;0.00151230004033
2,083,333,333;0.0214650448951;2,083,333,333;0.0105056840455;6.0;0.000883108542068;6.0;0.000163700951103;6.0;0.00191558005108
2,166,666,667;-0.0150793288958;2,083,333,333;0.00388169193587;6,083,333,333;0.000850995504175;6,083,333,333;0.000949465516395;6,083,333,333;0.00082336335529
